Site_ID,Site_Name,Site_City,Site_Area,Site_Cluster,Site_Room,Site_Type,Site_Scene,Site_Longitude,Site_Latitude,Power_Supply_Type,Power_Supply_PV_Panels_Current,Power_Supply_PV_Specification_Current,Power_Supply_PV_Annual_Current,Power_Supply_PV_Panels_Tobe,Power_Supply_PV_Specification_Tobe,Power_Supply_PV_Annual_Tobe,Rectifier_Model_Current,Rectifier_Deployment_Year,Rectifier_Efficiency_Current,Rectifier_Efficiency_Tobe,Battery_Type_Current,Cooling_Type,Power_Consumption_Aircondition,Power_Consumption_FCS,Power_Consumption_Aircondition_Outdoor,Power_Consumption_FCS_Outdoor,Cooling_Aircondition_Working_Hours_Current,Cooling_FCS_Working_Hours_Current,Cooling_Aircondition_Working_Hours_Tobe,Cooling_FCS_Working_Hours_Tobe,Cooling_Aircondition_Working_Hours_Outdoor,Cooling_FCS_Working_Hours_Outdoor,Data_Volume_234G_Month,Data_Volume_5G_Month,Alpha,Power_Star_Activation,Power_Star_Efficiency_234G,Power_Star_Efficiency_5G,Power_Consumption_Site_Radio_234G,Power_Consumption_Site_Tower_234G,Power_Consumption_Site_Radio_5G,grid_id,Power_Supply_PV_Out,5G_Deployment_Year,Power_Saving_Total
1,Site1,娄底,冷江,Cluster_1,Indoor,Macro,Urban,111.371842,27.596509,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,2103,955.1290283,2025,0
2,Site2,娄底,冷江,Cluster_1,Indoor,Macro,Urban,111.54101,27.79806,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,5115,1015.39502,2022,0
3,Site3,娄底,冷江,Cluster_1,Indoor,Macro,Urban,111.455898,27.692923,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3543,956.223999,2037,0
4,Site4,娄底,冷江,Cluster_1,Indoor,Macro,Urban,111.44219,27.70072,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3675,959.1459961,2032,0
5,Site5,娄底,冷江,Cluster_1,Outdoor,Macro,Suburban,111.43343,27.60369,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,2225,945.9979858,2022,0
6,Site6,娄底,冷江,Cluster_1,Indoor,Macro,Suburban,111.49073,27.77761,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,High-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,4713,994.5759888,2023,0
7,Site7,娄底,冷江,Cluster_1,Outdoor,Macro,Suburban,111.429367,27.690161,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3541,962.7990112,2030,0
8,Site8,娄底,冷江,Cluster_1,Indoor,Macro,Suburban,111.429367,27.690161,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,3541,962.7990112,2032,0
9,Site9,娄底,冷江,Cluster_1,Indoor,Macro,Suburban,111.421,27.681028,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3407,963.1640015,2037,0
10,Site10,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.45512,27.70503,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,3676,960.6079712,2027,0
