Site_ID,Site_Name,Site_City,Site_Area,Site_Cluster,Site_Room,Site_Type,Site_Scene,Site_Longitude,Site_Latitude,Power_Supply_Type,Power_Supply_PV_Panels_Current,Power_Supply_PV_Specification_Current,Power_Supply_PV_Annual_Current,Power_Supply_PV_Panels_Tobe,Power_Supply_PV_Specification_Tobe,Power_Supply_PV_Annual_Tobe,Rectifier_Model_Current,5G_Deployment_Year,Rectifier_Efficiency_Current,Rectifier_Efficiency_Tobe,Battery_Type_Current,Cooling_Type,Power_Consumption_Aircondition,Power_Consumption_FCS,Power_Consumption_Aircondition_Outdoor,Power_Consumption_FCS_Outdoor,Cooling_Aircondition_Working_Hours_Current,Cooling_FCS_Working_Hours_Current,Cooling_Aircondition_Working_Hours_Tobe,Cooling_FCS_Working_Hours_Tobe,Cooling_Aircondition_Working_Hours_Outdoor,Cooling_FCS_Working_Hours_Outdoor,Data_Volume_234G_Month,Data_Volume_5G_Month,Alpha,Power_Star_Activation,Power_Star_Efficiency_234G,Power_Star_Efficiency_5G,Power_Consumption_Site_Radio_234G,Power_Consumption_Site_Tower_234G,Power_Consumption_Site_Radio_5G,grid_id,Power_Supply_PV_Out,Upgrade_PV,Priority_PV,Selection_PV,Upgrade_Rectifier,Priority_Rectifier,Selection_Rectifier,Power_Consumption_Cable_Loss_Current,Power_Consumption_Cooling_Annual_Current,Power_Consumption_Cooling_Annual_Tobe,Power_Consumption_Cooling_Annual_Outdoor,Upgrade_Battery_Voltage,Priority_Battery_Voltage,Selection_Battery_Voltage,Upgrade_Battery_Supply,Priority_Battery_Supply,Selection_Battery_Supply,Upgrade_Battery_HighTemp,Priority_Battery_HighTemp,Selection_Battery_HighTemp,Power_Consumption_Cable_Loss_Tobe,Upgrade_I2O,Priority_I2O,Selection_I2O,Upgrade_FCS,Priority_FCS,Selection_FCS,Power_Consumption_Cooling_Annual_Final,Power_Consumption_Site_Radio_234G_Annual_Current,Priority_Power_Star,Selection_Power_Star,Power_Star_Saving_234G_Annual,Power_Consumption_Site_Radio_5G_Annual,Power_Consumption_Site_Radio_2345G_Annual_Current,Power_Star_Saving_5G_Annual,Power_Consumption_Site_Tower_5G_Annual,Power_Consumption_Site_Total_234G_Annual_Current,Power_Consumption_Site_Total_2345G_Annual_Current,Power_Consumption_Site_Radio_234G_Annual_Tobe,Power_Consumption_Site_Radio_2345G_Annual_Tobe,Power_Consumption_Site_Total_234G_Annual_Tobe,Power_Consumption_Site_Total_2345G_Annual_Tobe,KPI_TEE_234G_Current,KPI_SEE_234G_Current,KPI_RER_234G_Current,KPI_NCI_234G_Current,KPI_NC_234G_Current,KPI_TEE_2345G_Current,KPI_SEE_2345G_Current,KPI_RER_2345G_Current,KPI_NCI_2345G_Current,KPI_NC_2345G_Current,KPI_TEE_234G_Tobe,KPI_SEE_234G_Tobe,KPI_RER_234G_Tobe,KPI_NCI_234G_Tobe,KPI_NC_234G_Tobe,KPI_TEE_2345G_Tobe,KPI_SEE_2345G_Tobe,KPI_RER_2345G_Tobe,KPI_NCI_2345G_Tobe,KPI_NC_2345G_Tobe,Power_Saving_PV,Power_Saving_Rectifier,Power_Saving_Cable,Power_Saving_FCS,Power_Saving_I2O,Power_Saving_PowerStar,Power_Saving_Total
1322,Site1322,娄底,双峰,Cluster_46,Indoor,Macro,Rural,112.370639,27.417833,grid,0,0,0,12,375,3.787116839,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,701,1019.413025,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.110320736,97.523363,25746.16783,6.242703127,0.934938363,0.080085757,132.8676503,36671.47149,3.787116839,6.920453123,0.90343632,0,12.4508,3.337662953,27.39946923
1012,Site1012,娄底,娄星,Cluster_35,Indoor,Macro,Rural,112.069153,27.80372,grid,0,0,0,12,375,3.749123371,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,5300,1009.185974,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.109213966,97.64468305,25778.19633,6.242703127,0.934938363,0.079282313,132.9836956,36703.49998,3.749123371,6.920453123,0.90343632,0,12.4508,3.337662953,27.36147577
1166,Site1166,娄底,双峰,Cluster_40,Indoor,Macro,Rural,112.36427,27.37103,grid,0,0,0,12,375,3.747767433,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,405,1008.820984,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.109174467,97.64901281,25779.33938,6.242703127,0.934938363,0.079253639,132.9878371,36704.64303,3.747767433,6.920453123,0.90343632,0,12.4508,3.337662953,27.36011983
698,Site698,娄底,娄星,Cluster_25,Indoor,Macro,Rural,112.02174,27.744233,grid,0,0,0,12,375,3.739624324,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4375,1006.629028,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108937254,97.67501524,25786.20402,6.242703127,0.934938363,0.079081438,133.012709,36711.50768,3.739624324,6.920453123,0.90343632,0,12.4508,3.337662953,27.35197672
1062,Site1062,娄底,娄星,Cluster_37,Indoor,Macro,Rural,112.01646,27.743705,grid,0,0,0,12,375,3.739624324,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4375,1006.629028,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108937254,97.67501524,25786.20402,6.242703127,0.934938363,0.079081438,133.012709,36711.50768,3.739624324,6.920453123,0.90343632,0,12.4508,3.337662953,27.35197672
674,Site674,娄底,娄星,Cluster_25,Indoor,Macro,Rural,112.010551,27.743299,grid,0,0,0,12,375,3.738268159,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4374,1006.263977,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108897748,97.67934572,25787.34727,6.242703127,0.934938363,0.079052759,133.0168512,36712.65092,3.738268159,6.920453123,0.90343632,0,12.4508,3.337662953,27.35062055
700,Site700,娄底,娄星,Cluster_25,Indoor,Macro,Rural,112.01117,27.74264,grid,0,0,0,12,375,3.738268159,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4374,1006.263977,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108897748,97.67934572,25787.34727,6.242703127,0.934938363,0.079052759,133.0168512,36712.65092,3.738268159,6.920453123,0.90343632,0,12.4508,3.337662953,27.35062055
908,Site908,娄底,娄星,Cluster_32,Indoor,Macro,Rural,111.94136,27.87542,grid,0,0,0,12,375,3.736910407,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,6151,1005.898499,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108858196,97.68368127,25788.49185,6.242703127,0.934938363,0.079024047,133.0209982,36713.79551,3.736910407,6.920453123,0.90343632,0,12.4508,3.337662953,27.3492628
648,Site648,娄底,娄星,Cluster_24,Indoor,Macro,Rural,112.018181,27.753851,grid,0,0,0,12,375,3.736908593,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4504,1005.89801,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108858143,97.68368706,25788.49338,6.242703127,0.934938363,0.079024009,133.0210038,36713.79704,3.736908593,6.920453123,0.90343632,0,12.4508,3.337662953,27.34926099
1374,Site1374,娄底,双峰,Cluster_47,Indoor,Macro,Rural,112.02775,27.327778,grid,0,0,0,12,375,3.736908593,non-Huawei,2019,0.85,0.97,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,184,1005.89801,1,3,1,1,3,1,0.087,13.14,2.0976,0.6892,1,3,1,1,3,1,1,0,0,0.068,1,3,1,1,0,0,0.6892,34.4706,3,1,1.897659835,13.07868,47.54928,1.440003118,13.07868,53.69364706,70.41897078,32.57294016,44.21161705,34.3282412,47.28826925,7.658700458,0.641986564,0,171.4535775,45263.74447,5.804504295,0.675233953,0,215.0840303,59363.19236,8.104887022,0.948867144,0.108858143,97.68368706,25788.49338,6.242703127,0.934938363,0.079024009,133.0210038,36713.79704,3.736908593,6.920453123,0.90343632,0,12.4508,3.337662953,27.34926099
