Site_Name,Year,Month,Date,Value
Site1322,2019,1,1/1/2019,100
Site1322,2019,2,2/1/2019,107
Site1322,2019,3,3/1/2019,102
Site1322,2019,4,4/1/2019,105
Site1322,2019,5,5/1/2019,112
Site1322,2019,6,6/1/2019,103
Site1322,2019,7,7/1/2019,98
Site1322,2019,8,8/1/2019,101
Site1322,2019,9,9/1/2019,98
Site1322,2019,10,10/1/2019,101
Site1322,2019,11,11/1/2019,94
Site1322,2019,12,12/1/2019,100
Site1322,2020,1,1/1/2020,90
Site1322,2020,2,2/1/2020,94
Site1322,2020,3,3/1/2020,88
Site1322,2020,4,4/1/2020,93
Site1322,2020,5,5/1/2020,100
Site1322,2020,6,6/1/2020,110
Site1322,2020,7,7/1/2020,101
Site1322,2020,8,8/1/2020,97
Site1322,2020,9,9/1/2020,90
Site1322,2020,10,10/1/2020,94
Site1322,2020,11,11/1/2020,98
Site1322,2020,12,12/1/2020,93
Site1322,2021,1,1/1/2021,94
Site1322,2021,2,2/1/2021,89
Site1322,2021,3,3/1/2021,89
Site1322,2021,4,4/1/2021,80
Site1322,2021,5,5/1/2021,86
Site1322,2021,6,6/1/2021,89
Site1322,2021,7,7/1/2021,96
Site1322,2021,8,8/1/2021,99
Site1322,2021,9,9/1/2021,94
Site1322,2021,10,10/1/2021,86
Site1322,2021,11,11/1/2021,83
Site1322,2021,12,12/1/2021,79
Site1322,2022,1,1/1/2022,86
Site1322,2022,2,2/1/2022,96
Site1322,2022,3,3/1/2022,95
Site1322,2022,4,4/1/2022,99
Site1322,2022,5,5/1/2022,95
Site1322,2022,6,6/1/2022,87
Site1322,2022,7,7/1/2022,83
Site1322,2022,8,8/1/2022,93
Site1322,2022,9,9/1/2022,92
Site1322,2022,10,10/1/2022,92
Site1322,2022,11,11/1/2022,87
Site1322,2022,12,12/1/2022,82
Site1322,2023,1,1/1/2023,74
Site1322,2023,2,2/1/2023,70
Site1322,2023,3,3/1/2023,71
Site1322,2023,4,4/1/2023,79
Site1322,2023,5,5/1/2023,84
Site1322,2023,6,6/1/2023,89
Site1322,2023,7,7/1/2023,80
Site1322,2023,8,8/1/2023,85
Site1322,2023,9,9/1/2023,80
Site1322,2023,10,10/1/2023,88
Site1322,2023,11,11/1/2023,94
Site1322,2023,12,12/1/2023,93
Site1322,2024,1,1/1/2024,85
Site1322,2024,2,2/1/2024,87
Site1322,2024,3,3/1/2024,91
Site1322,2024,4,4/1/2024,88
Site1322,2024,5,5/1/2024,81
Site1322,2024,6,6/1/2024,81
Site1322,2024,7,7/1/2024,82
Site1322,2024,8,8/1/2024,82
Site1322,2024,9,9/1/2024,83
Site1322,2024,10,10/1/2024,80
Site1322,2024,11,11/1/2024,85
Site1322,2024,12,12/1/2024,75
Site1322,2025,1,1/1/2025,73
Site1322,2025,2,2/1/2025,75
Site1322,2025,3,3/1/2025,82
Site1322,2025,4,4/1/2025,78
Site1322,2025,5,5/1/2025,81
Site1322,2025,6,6/1/2025,84
Site1322,2025,7,7/1/2025,78
Site1322,2025,8,8/1/2025,72
Site1322,2025,9,9/1/2025,72
Site1322,2025,10,10/1/2025,77
Site1322,2025,11,11/1/2025,72
Site1322,2025,12,12/1/2025,75
Site1322,2026,1,1/1/2026,78
Site1322,2026,2,2/1/2026,68
Site1322,2026,3,3/1/2026,67
Site1322,2026,4,4/1/2026,68
Site1322,2026,5,5/1/2026,75
Site1322,2026,6,6/1/2026,76
